,sample_name,leaf_area,diseased_area,diseased_percent
0,1-9-2,46997,39515,84.07983488307764
1,1-9-2,44720,15480,34.61538461538461
2,1-9-2,44758,17705,39.557174136467225
3,1-9-2,38302,24398,63.699023549684085
4,1-9-2,30003,12529,41.759157417591574
5,1-9-2,42034,20787,49.45282390445829
6,1-9-2,52161,28614,54.85707712658883
7,1-10-2,23782,18725,78.73601883777647
8,1-10-2,44155,34737,78.67059223191032
9,1-10-2,37194,13202,35.4949723073614
10,1-10-2,45750,25577,55.90601092896175
11,1-10-2,21705,11569,53.301082699838744
12,1-10-2,37146,32458,87.37952942443331
13,1-10-2,20248,14789,73.0393125246938
14,1-10-2,20991,16518,78.69086751464913
15,1-10-1,22879,14871,64.99847021285895
16,1-10-1,29083,20007,68.79276553312931
17,1-10-1,37110,17879,48.17838857450822
18,1-10-1,40308,28638,71.04793093182494
19,1-10-1,39365,15099,38.35640797662899
20,1-10-1,66974,44305,66.15253680532744
21,1-10-1,34808,27141,77.97345437830384
22,1-10-1,71780,15097,21.03232098077459
23,2-1-2,63415,23278,36.70740361113301
24,2-1-2,65380,16853,25.7769960232487
25,2-1-2,48156,11322,23.51108896087715
26,2-1-2,55382,6860,12.386696038424038
27,2-1-2,50358,10751,21.349140156479606
28,2-1-2,59108,21030,35.5789402449753
29,2-1-2,62181,21375,34.37545230858301
30,2-1-2,54824,8159,14.88216839340435
31,2-4-2,75160,12320,16.391697711548698
32,2-4-2,85580,7124,8.324374853937835
33,2-4-2,62398,3155,5.056251802942402
34,2-4-2,78366,5133,6.550034453717172
35,2-4-2,77127,12927,16.76066747053561
36,2-4-2,83036,7986,9.617515294571028
37,2-4-2,47500,4261,8.970526315789474
38,2-3-2,68256,14221,20.83479840600094
39,2-3-2,35767,2558,7.15184387843543
40,2-3-2,134806,3816,2.8307345370384107
41,2-3-2,66160,10271,15.524486094316808
42,2-3-2,58991,6487,10.996592700581445
43,2-3-2,59250,4165,7.029535864978903
44,2-3-2,67743,2933,4.329598630116765
45,2-2-2,73777,6746,9.143771093972376
46,2-2-2,127547,958,0.7510956745356613
47,2-2-2,66343,4185,6.308125951494506
48,2-2-2,59206,4859,8.20693848596426
49,2-2-2,98049,6745,6.879213454497241
50,2-2-2,60187,7440,12.361473407878778
51,2-2-2,87132,6039,6.930863517421843
52,2-2-2,142896,2761,1.9321744485499943
53,2-6-2,57073,11218,19.655528884060764
54,2-6-2,64800,3511,5.41820987654321
55,2-6-2,74129,6867,9.263581054647979
56,2-6-2,48281,2615,5.416209274870032
57,2-6-2,75961,3916,5.155277050065165
58,2-6-2,73688,2373,3.2203343828031703
59,2-6-2,68220,8722,12.78510700674289
60,2-6-2,63066,13827,21.92465036628294
61,2-6-2,46923,7667,16.339534982844235
62,4-9-1,60629,20119,33.18378993550941
63,4-9-1,44846,10923,24.356687329973685
64,4-9-1,42407,7319,17.258943099016673
65,4-9-1,62131,5017,8.074874056429158
66,4-9-1,71026,10964,15.436600681440598
67,4-9-1,33535,20620,61.48799761443268
68,4-9-1,45272,12093,26.71187488955646
69,4-9-1,59753,11049,18.491121784680267
70,2-7-2,32547,21442,65.88011183826467
71,2-7-2,73585,21991,29.885166813888702
72,2-7-2,52599,12137,23.07458316698036
73,2-7-2,84483,43295,51.24699643715304
74,2-7-2,72421,32318,44.625177779925714
75,2-7-2,55783,39842,71.42319344603195
76,2-7-2,51145,35883,70.1593508651872
77,2-7-2,52490,20302,38.67784339874262
